,Gender,Age,Education,Party,Race,Region,Marital,RACESURV10,RACESURV11,RACESURV6,RACESURV7,RACESURV20,RACESURV22
217,2,1,3,2,2,3,6,1,2,2,3,3,4
218,2,3,1,99,2,4,2,2,2,2,2,2,2
219,2,1,3,4,3,4,6,1,1,2,2,3,3
220,1,3,3,2,3,4,3,1,1,2,3,1,2
223,2,4,1,2,2,3,5,2,3,2,2,3,3
224,2,2,3,4,3,4,1,1,3,2,4,3,3
226,1,2,1,3,2,3,1,1,2,2,2,2,3
237,2,2,3,2,3,1,1,2,3,2,4,3,4
240,2,1,3,99,3,4,1,1,1,2,3,2,2
242,1,4,2,4,2,2,1,2,2,2,1,1,2
246,1,2,3,4,3,3,6,99,2,1,3,2,4
247,1,2,3,1,3,4,1,1,3,2,3,3,4
248,2,1,1,1,2,3,1,1,3,2,3,3,4
249,2,2,2,2,3,4,1,2,2,2,1,2,3
251,1,2,2,3,2,3,6,2,3,2,1,2,3
252,2,2,3,3,3,4,2,2,2,2,3,1,1
253,2,3,1,2,2,3,6,1,2,2,1,2,2
255,1,3,2,3,2,2,1,2,2,2,2,2,3
257,1,2,3,3,3,3,2,2,2,2,2,1,3
262,1,1,3,4,3,4,6,2,2,1,4,3,4
263,2,4,1,1,3,4,1,1,2,1,2,2,4
264,1,3,1,2,2,4,3,2,1,2,1,2,3
265,2,3,2,2,2,3,1,2,2,2,2,2,4
266,1,2,1,2,2,2,1,2,2,2,2,2,3
269,2,2,2,1,2,3,1,2,2,2,2,2,3
270,1,3,1,2,2,3,1,2,2,2,2,2,2
271,1,3,3,2,3,3,1,2,2,2,1,2,4
272,1,3,1,2,2,2,6,2,2,2,1,2,3
273,2,4,2,2,2,3,3,1,3,2,3,2,3
274,2,1,1,2,3,4,1,2,2,2,3,3,2
278,2,3,3,2,3,4,1,1,2,1,2,2,2
279,1,4,1,2,2,3,1,1,3,2,1,2,3
280,2,4,1,99,3,2,1,2,2,99,2,2,3
281,1,1,2,2,3,1,2,2,2,2,2,2,4
283,2,2,1,99,2,2,6,99,2,2,1,2,2
284,2,2,3,2,2,3,6,2,2,2,1,2,3
286,2,1,3,2,3,3,6,1,2,2,3,3,4
287,2,2,3,2,3,3,1,99,2,2,1,2,4
291,2,2,3,2,2,3,6,1,1,1,3,2,1
293,1,3,1,4,2,4,1,2,2,2,1,1,2
295,1,1,3,2,2,3,6,2,2,2,3,3,4
296,2,3,3,2,3,4,1,2,2,1,4,3,4
299,2,4,3,2,3,3,5,1,3,2,4,1,2
302,2,3,1,3,2,2,1,2,2,2,3,2,4
306,2,1,2,1,3,4,6,2,2,1,3,3,3
309,1,3,1,2,2,4,1,2,2,2,2,2,4
310,1,3,2,1,2,1,2,2,2,2,3,2,2
311,1,2,2,1,2,3,1,2,3,1,2,2,2
312,1,4,3,1,3,4,1,1,1,1,1,1,4
314,2,2,3,2,2,3,2,1,3,2,2,2,4
316,2,2,3,2,2,1,6,2,2,2,1,2,4
319,1,3,2,2,2,1,1,2,2,2,2,2,4
324,2,4,2,2,2,1,4,1,2,2,2,2,3
326,2,2,3,4,3,4,6,1,1,2,2,1,4
329,1,2,2,2,3,3,1,2,2,2,2,2,4
331,1,2,1,4,3,3,3,1,3,1,2,2,3
332,1,3,1,3,3,2,1,1,3,2,2,3,3
334,2,3,3,2,2,3,1,2,2,2,1,2,1
335,2,2,2,2,2,2,1,2,2,2,3,2,4
336,2,3,2,2,2,1,1,1,1,1,2,3,4
337,2,3,3,1,3,2,1,2,3,2,3,3,4
338,2,3,3,2,2,3,6,2,2,2,2,3,4
339,2,3,3,2,3,2,1,2,2,1,4,2,4
340,2,4,1,3,2,3,5,2,2,2,2,2,3
343,1,3,1,3,3,3,1,2,2,2,2,2,3
345,2,1,2,4,3,3,1,1,2,2,1,1,4
347,1,3,2,3,3,3,1,1,2,2,4,3,3
351,1,1,2,2,3,4,6,1,1,2,2,3,3
352,2,2,1,2,3,3,4,1,1,2,4,3,4
354,1,4,3,2,2,1,3,2,2,2,3,2,3
356,2,1,1,2,3,1,6,1,2,2,2,3,2
357,1,3,1,2,2,3,1,2,2,2,2,2,4
358,1,4,3,2,3,1,1,1,2,2,3,3,3
362,1,4,1,1,3,3,1,1,2,1,2,3,4
364,2,3,2,2,2,1,1,2,3,2,3,3,2
365,2,1,3,1,3,3,6,2,2,1,2,2,2
366,2,3,2,3,3,1,4,2,2,99,2,1,4
369,1,1,2,3,2,3,6,2,3,2,2,1,3
371,2,1,2,2,2,3,6,2,2,2,2,2,2
373,2,2,1,2,2,3,6,2,2,2,1,2,4
375,1,2,1,3,2,3,1,2,2,2,1,2,2
379,1,4,3,2,3,3,1,1,2,2,4,3,4
380,2,2,3,1,2,3,6,2,1,2,1,1,4
381,2,3,2,2,2,4,6,2,3,2,2,2,4
385,2,3,2,2,2,3,2,1,3,2,2,3,3
387,2,2,2,3,3,3,4,2,2,2,2,2,2
388,2,4,3,2,2,1,5,2,2,2,2,2,3
392,2,3,1,2,3,2,5,2,2,2,2,2,3
393,1,4,1,2,2,3,1,1,2,2,1,2,3
395,1,2,3,99,2,3,6,2,3,2,4,99,99
400,1,4,2,1,3,4,1,1,2,2,3,2,3
401,1,2,1,3,3,4,1,2,2,2,2,2,4
402,1,3,3,2,3,4,1,2,3,2,3,3,4
407,2,1,2,4,3,4,6,1,3,2,4,3,4
408,1,3,3,3,2,2,1,2,2,2,2,2,2
409,1,2,3,2,3,4,1,2,2,2,2,1,2
411,2,3,2,2,2,3,3,2,3,2,2,1,4
412,1,3,3,2,3,3,1,2,2,2,4,3,4
413,2,4,2,2,2,2,1,2,3,2,1,2,3
416,1,2,3,1,3,4,1,1,2,1,1,2,4
417,2,3,2,2,2,3,1,2,2,2,1,2,1
422,2,2,3,99,3,4,1,1,1,2,4,99,99
423,1,2,1,2,2,3,3,2,2,2,3,1,4
424,2,4,2,2,3,1,6,2,2,2,3,2,3
425,1,2,1,2,2,4,1,1,3,2,2,2,3
426,2,2,3,2,3,4,1,2,2,2,2,2,3
427,2,2,1,2,2,4,6,2,3,2,3,3,2
428,2,1,1,2,2,1,6,2,2,1,2,1,2
430,1,1,2,3,3,4,6,2,2,2,3,2,4
437,1,1,3,4,3,4,6,2,2,2,2,3,4
438,2,3,3,3,2,2,3,1,2,2,4,3,3
445,2,4,1,3,2,2,5,2,2,2,1,2,3
447,1,3,2,99,2,4,2,2,3,99,3,2,1
448,1,2,1,3,3,4,1,2,2,2,3,2,4
453,1,1,2,2,2,3,1,1,1,1,3,2,3
456,1,3,3,3,2,3,1,2,2,2,2,2,4
459,1,4,2,1,3,3,1,2,2,2,3,2,4
460,1,4,1,3,2,1,4,1,3,2,4,2,4
462,2,1,3,2,2,2,6,2,2,2,3,2,3
463,1,4,1,1,3,3,1,1,3,1,2,3,4
464,2,2,3,4,3,4,1,2,2,2,4,1,4
466,2,4,2,2,2,3,3,2,2,2,2,3,4
470,1,2,3,4,3,4,1,1,2,2,2,2,3
471,2,3,3,99,3,3,4,2,2,1,4,3,3
472,1,2,3,3,3,4,1,2,2,2,4,3,4
473,1,2,3,2,3,3,6,1,3,2,1,1,1
474,2,3,3,2,2,3,5,2,2,2,1,2,1
479,1,2,2,3,3,3,3,2,2,1,3,3,3
480,2,2,3,2,3,4,1,2,2,2,2,2,4
481,1,3,3,2,2,3,1,1,1,2,2,3,3
482,2,3,2,99,2,2,1,2,2,2,4,2,4
483,2,1,2,2,2,3,6,2,2,2,3,3,4
485,2,1,3,3,3,4,6,2,3,2,2,2,4
486,1,2,3,2,3,4,3,1,2,2,3,2,4
487,1,2,3,3,3,3,4,1,3,1,4,2,2
488,1,1,3,1,3,4,6,2,2,1,2,3,4
491,2,2,2,2,2,2,1,2,3,2,2,3,4
495,2,4,3,2,2,3,3,2,2,1,3,2,3
496,2,1,3,4,3,3,6,1,3,2,2,3,2
497,1,3,2,3,2,2,6,2,2,2,4,2,4
500,1,1,3,1,3,3,6,1,1,1,3,2,2
503,1,4,2,3,2,3,3,1,1,2,1,1,4
504,1,2,3,4,3,4,1,2,2,1,4,2,2
505,2,3,3,3,3,4,1,2,2,2,3,3,2
507,2,2,1,2,2,1,3,2,3,2,2,2,4
508,2,3,2,2,2,3,1,99,99,2,2,2,3
509,1,4,1,3,2,3,6,1,3,2,2,2,3
511,2,2,3,1,3,4,1,1,2,1,3,2,2
515,1,2,3,4,3,4,1,1,1,1,2,3,4
516,1,3,1,2,2,3,6,1,3,2,2,2,4
518,1,3,2,99,3,1,3,1,3,2,3,2,4
