,Gender,Age,Education,Party,Race,Region,Marital,RACESURV10,RACESURV11,RACESURV6,RACESURV7,RACESURV20,RACESURV22
967,2,1,2,99,3,4,6,99,99,99,99,99,99
968,2,3,3,2,3,4,1,2,2,1,1,1,4
969,1,4,3,2,3,3,3,1,2,1,3,2,3
970,1,2,3,2,3,3,1,2,2,2,2,2,2
971,2,4,3,4,3,4,1,1,1,1,1,2,2
973,2,3,3,2,3,4,1,2,2,2,2,2,2
974,2,4,2,2,2,3,6,2,2,2,2,1,4
975,1,3,1,2,2,3,1,2,2,2,1,2,2
977,2,2,1,2,3,1,6,2,2,2,2,2,3
980,2,4,3,2,2,3,5,1,2,2,4,2,2
981,2,3,2,2,2,3,6,2,2,2,1,2,4
982,1,3,2,2,2,3,1,2,2,2,1,2,4
987,2,2,1,2,2,3,6,2,2,2,1,2,4
989,2,4,3,3,2,1,5,2,3,2,1,2,4
993,2,3,2,2,2,1,6,2,2,2,3,2,4
1000,2,3,3,2,2,3,6,2,2,2,1,2,4
1003,1,2,2,3,2,2,4,1,3,1,3,2,3
1005,1,2,2,3,2,2,2,2,2,2,2,2,4
1007,2,4,3,3,2,3,5,2,2,2,2,2,4
1008,2,3,2,2,2,1,3,2,2,2,1,2,4
1009,2,2,3,99,3,4,1,99,99,1,99,99,99
1011,2,3,3,2,2,2,6,2,3,2,3,3,2
1012,1,3,2,2,2,4,1,99,2,2,2,2,3
1013,2,3,3,2,2,1,3,2,3,2,2,3,4
1016,1,1,3,2,2,4,6,2,2,1,3,2,2
1017,1,4,2,3,2,1,6,2,2,2,2,2,4
1018,1,4,3,2,2,3,5,1,3,2,3,2,3
1019,1,3,3,2,2,3,1,2,3,2,3,3,4
1020,2,2,3,2,3,3,1,2,2,2,1,1,4
1021,2,3,2,4,2,2,1,2,3,1,3,2,4
1024,1,4,2,2,2,3,5,2,2,2,1,2,3
1025,1,2,2,2,2,1,6,2,2,2,3,2,4
1026,2,2,3,2,2,3,6,1,3,2,3,2,1
1029,1,2,1,4,2,3,1,2,2,2,2,2,4
1032,1,3,2,2,2,3,6,2,2,2,1,2,4
1034,1,4,2,2,3,4,1,2,3,2,2,2,2
1035,1,1,3,4,2,3,6,2,3,2,4,3,4
1037,2,4,1,3,2,3,3,2,2,2,2,1,3
1038,1,4,1,1,1,4,6,1,2,1,2,3,4
1039,2,3,1,2,5,1,6,2,2,2,2,2,4
1041,2,3,2,3,1,3,1,2,2,1,2,2,4
1043,1,2,3,1,1,3,6,1,1,1,4,2,4
1046,1,3,2,1,3,4,1,2,3,1,1,2,1
1047,2,3,1,3,4,2,3,2,2,2,2,3,4
1048,2,4,1,3,9,3,1,1,3,2,4,3,4
1049,2,2,3,4,1,1,3,2,1,1,2,2,2
1051,1,4,2,1,1,3,1,2,2,1,4,3,3
1055,2,2,3,2,1,1,6,1,2,2,1,3,1
1056,1,4,3,3,1,3,5,1,1,2,3,3,4
1059,1,3,3,1,1,2,1,2,2,1,3,3,4
1060,1,4,1,2,1,3,3,1,2,2,2,3,4
1062,1,4,2,2,2,2,1,1,3,2,2,2,4
1063,2,4,1,1,3,4,1,2,3,2,1,1,2
1065,2,3,2,2,2,3,6,2,2,2,3,2,3
1066,2,3,1,2,2,1,6,2,2,2,3,2,3
1067,2,4,2,2,2,3,3,2,2,2,3,1,3
1069,2,4,1,1,1,3,3,2,2,1,3,2,3
1072,2,2,3,1,1,3,1,1,3,1,3,3,4
1074,2,2,2,4,1,1,1,1,1,1,4,3,4
1075,2,3,2,2,3,4,1,2,2,2,1,3,4
1078,2,3,3,3,1,4,2,1,3,1,3,3,4
1080,1,3,1,2,5,1,6,1,3,2,2,2,2
1082,2,2,1,1,1,1,1,1,1,2,4,3,4
1083,1,3,2,4,4,4,6,2,2,1,4,3,3
1084,1,2,1,3,1,4,1,1,2,1,4,2,4
1086,2,4,3,1,1,4,1,99,2,1,3,3,4
1088,2,4,3,1,1,3,1,1,3,1,3,3,4
1089,2,3,1,2,2,2,3,2,2,2,1,2,3
1091,2,3,3,2,1,2,1,2,3,2,4,3,4
1093,2,4,1,2,1,2,1,2,3,2,1,3,4
1094,2,4,1,2,1,4,5,2,1,2,2,2,2
1099,2,4,2,1,1,2,1,1,2,1,2,3,4
1100,2,2,2,3,1,2,2,2,2,1,2,3,4
1105,2,3,3,2,1,4,5,1,3,2,2,2,2
1110,2,3,3,1,1,3,1,1,3,1,3,3,4
1111,2,4,1,1,1,3,1,1,2,1,3,2,4
1112,2,3,1,1,5,3,1,1,3,1,3,3,2
1113,1,4,1,3,1,4,1,1,2,2,3,2,4
1114,2,4,2,3,3,4,1,2,2,1,1,2,4
1115,2,4,1,2,1,4,1,2,2,2,2,3,4
1116,2,4,3,1,1,2,1,1,3,1,2,3,4
1118,1,4,1,2,5,4,5,1,3,2,2,2,2
1119,1,4,2,3,2,3,1,2,2,1,2,1,4
1120,1,4,1,2,1,4,5,1,1,2,3,3,4
1121,2,3,3,2,1,4,1,1,3,2,2,2,4
1122,2,4,2,1,1,4,3,2,2,1,3,3,4
1123,2,4,3,3,1,1,5,99,99,2,2,3,4
1127,2,4,1,2,1,3,1,2,3,2,3,3,3
1129,2,2,1,3,1,1,1,2,2,1,2,2,2
1131,2,4,1,2,1,1,5,1,3,1,3,3,4
1132,2,4,3,2,1,4,1,1,1,2,2,2,4
1133,2,3,1,3,1,1,1,2,2,2,2,2,2
1134,1,4,1,2,1,3,1,1,2,2,2,2,4
1136,1,4,1,3,1,3,1,1,3,1,3,3,4
1138,2,1,2,3,9,3,2,2,2,2,1,1,3
1139,1,4,3,1,1,1,5,2,2,1,4,3,4
1143,1,3,3,1,1,1,1,1,2,1,2,2,3
1145,2,4,1,99,1,4,99,2,2,2,3,3,4
1146,2,4,3,1,1,3,1,2,2,2,2,3,4
1147,2,3,2,2,1,2,3,1,1,2,4,3,4
1148,2,3,2,2,2,3,5,2,3,2,1,3,3
1154,2,2,3,2,3,2,1,2,2,2,2,3,3
1155,2,3,1,2,1,1,3,2,2,2,2,3,2
1156,2,4,1,3,2,3,3,2,2,2,3,1,4
1157,1,4,1,3,1,1,1,2,2,1,2,3,4
1159,1,3,1,3,2,4,1,1,2,1,1,2,1
1161,2,3,3,2,3,4,5,1,3,1,3,3,4
1165,2,3,1,1,4,1,6,2,2,2,1,2,4
1166,1,3,1,3,1,4,6,1,2,1,2,2,4
1167,2,3,3,3,1,4,1,2,3,2,2,2,4
1168,1,3,1,1,1,3,1,1,3,1,2,3,4
1171,1,3,2,2,4,4,1,2,2,2,2,1,4
1172,1,4,2,3,1,2,1,1,3,1,3,3,4
1175,1,4,1,1,1,4,6,2,3,2,4,1,3
1177,1,3,1,4,1,1,1,1,3,1,4,3,4
1180,2,2,1,2,2,3,1,2,2,2,1,2,4
1184,2,4,2,2,1,4,3,2,2,2,3,2,4
1186,1,3,3,1,1,3,1,1,3,1,4,3,4
1187,2,4,2,2,3,4,1,1,3,2,4,3,4
1188,1,4,1,2,1,4,2,2,3,2,4,2,3
1189,2,3,3,1,1,2,1,2,2,1,3,3,99
1190,2,3,2,1,1,2,1,2,2,1,2,3,4
1191,1,3,1,1,1,3,1,99,99,99,99,99,99
1196,2,3,3,2,2,3,5,2,2,2,2,2,4
1197,2,2,1,2,2,3,1,1,2,2,2,2,2
1198,2,4,1,2,3,3,3,1,2,1,1,2,4
1199,1,2,1,3,2,3,4,2,2,2,1,2,4
1200,2,4,3,1,1,2,5,2,2,1,3,3,4
1201,1,2,1,2,3,1,3,1,2,2,1,2,3
1204,2,4,2,3,1,3,5,1,2,1,3,3,4
1207,1,3,1,1,1,3,1,2,1,2,2,3,4
1208,1,3,1,2,5,2,6,2,2,2,2,3,3
1209,1,2,2,2,3,1,6,2,2,2,1,1,4
1210,2,3,3,2,4,3,1,2,2,2,2,2,2
1212,2,3,1,4,1,4,2,1,2,2,4,1,4
1213,2,4,2,1,1,2,3,2,1,2,3,3,4
1216,1,3,1,1,3,2,1,2,2,1,1,2,4
1219,2,3,2,3,1,3,1,2,2,1,2,2,4
1222,2,4,2,2,2,2,5,2,2,2,3,2,3
1226,2,3,2,3,1,3,1,2,3,1,2,3,3
1227,1,3,3,2,1,1,3,2,3,2,3,3,4
1228,2,4,3,2,1,4,1,1,1,2,4,3,1
1230,1,2,1,3,1,3,1,1,2,1,3,2,4
1231,2,2,3,3,3,3,4,1,3,2,4,3,3
1235,2,3,3,3,1,3,4,1,3,1,3,2,3
1237,1,4,1,3,5,4,1,1,2,1,3,3,4
1238,2,4,2,3,1,2,1,1,3,1,3,3,4
1239,2,2,1,2,5,1,1,2,3,1,2,2,2
1240,2,4,3,1,1,2,1,1,2,1,3,3,4
1241,1,4,3,1,1,2,5,1,3,2,4,3,4
1243,2,4,3,4,1,4,3,1,1,1,3,2,3
1244,1,4,3,1,1,2,2,1,3,1,3,3,4
1245,1,1,2,99,3,1,6,99,3,1,4,2,99
1249,1,3,1,3,1,2,1,1,2,2,3,2,4
1250,2,4,2,1,1,2,99,2,2,1,3,2,3
1251,2,4,2,1,1,3,3,2,2,1,3,2,3
1252,1,3,2,1,1,3,1,1,2,1,2,3,4
1253,1,4,1,1,1,2,1,2,2,1,2,3,4
1256,1,4,1,2,1,4,1,2,2,2,3,3,3
1259,2,2,1,2,1,1,6,2,2,2,2,2,2
1260,1,4,1,3,1,2,3,2,2,2,3,2,4
1261,2,4,1,2,1,1,6,1,3,2,3,3,4
1263,2,3,3,2,1,3,1,1,3,1,3,3,4
1264,1,3,2,2,3,1,1,1,1,2,2,3,4
1266,2,4,2,3,1,3,5,2,2,1,3,3,4
1269,2,3,3,2,2,3,6,2,2,2,1,1,4
1270,1,3,1,2,1,4,1,1,3,2,3,3,2
1275,1,4,1,2,1,1,3,2,3,2,2,3,4
1276,2,2,1,2,3,3,6,2,2,2,2,2,2
1278,2,2,1,3,1,3,1,1,1,2,2,3,4
1282,2,4,1,1,5,4,1,1,2,2,3,2,4
1284,2,3,3,1,1,3,1,1,2,1,3,3,4
1285,2,4,3,4,1,4,5,2,2,1,3,3,4
1286,2,4,1,1,1,2,5,1,3,2,4,3,4
1292,1,4,1,1,1,4,3,1,3,1,3,3,4
1297,2,3,2,2,1,4,1,2,2,2,3,3,4
1298,1,4,1,3,1,3,5,2,1,2,2,3,4
1299,2,2,3,2,1,4,6,2,3,2,1,3,4
1301,1,4,2,1,1,2,5,2,3,2,4,99,99
1303,1,4,3,1,1,2,1,1,3,2,2,2,3
1304,1,4,2,3,1,1,5,1,2,1,4,3,4
1305,1,3,2,1,1,3,3,1,1,1,3,3,4
1306,1,2,3,4,1,3,1,2,2,1,1,2,3
1308,2,3,2,2,2,2,1,2,2,2,3,3,3
1309,1,3,2,2,2,1,5,2,3,2,2,2,2
1311,2,4,2,2,1,4,5,2,2,2,2,3,4
1312,1,2,1,1,1,4,1,2,3,2,4,3,4
1315,1,4,1,1,1,1,1,2,2,1,4,3,4
1317,1,2,1,1,3,4,1,2,2,1,3,2,4
1320,2,4,1,2,1,1,1,1,2,2,4,3,4
1321,2,4,2,1,1,2,5,2,2,1,1,3,4
1322,2,4,1,1,1,1,1,1,3,1,3,3,3
1323,2,3,1,1,1,3,3,2,2,1,3,2,4
1326,2,4,2,3,1,3,1,1,1,1,1,1,1
1328,2,4,3,3,1,4,1,2,2,1,2,2,4
1330,1,4,1,3,1,3,1,1,2,1,4,2,4
1331,1,4,3,3,1,1,3,2,3,1,2,3,2
1332,1,4,2,3,1,2,1,2,2,2,2,3,4
1335,1,4,3,3,2,3,3,2,3,1,2,2,2
1340,1,2,2,2,2,1,2,2,2,2,2,2,3
1343,1,4,2,1,1,3,5,1,99,1,3,2,4
1344,1,2,1,3,1,2,6,2,3,2,2,2,4
1345,2,2,2,2,2,3,6,2,2,2,1,2,1
1347,2,3,1,2,3,4,1,2,2,2,1,2,3
1348,1,4,1,3,1,4,1,2,1,1,3,3,4
1349,1,2,2,2,2,2,2,2,3,2,3,2,3
1351,2,3,2,3,1,4,1,2,2,2,1,1,4
1352,1,3,2,1,3,4,1,2,2,2,2,2,3
1354,1,4,1,1,1,2,1,1,2,1,3,3,4
1355,2,4,2,1,1,2,5,2,2,1,3,2,4
1359,1,4,2,1,1,3,1,2,2,1,2,2,4
1361,2,3,3,2,3,4,1,2,3,2,4,3,4
1363,2,4,1,3,1,4,6,1,1,2,2,3,4
1368,2,2,3,3,3,1,6,2,3,2,3,3,3
1371,2,2,3,2,2,2,6,2,3,2,3,2,3
1373,2,3,2,3,1,4,3,2,2,2,4,3,4
1375,1,3,1,1,1,4,1,2,2,1,2,3,4
1377,1,3,2,2,2,2,3,2,2,2,2,2,4
1379,2,3,2,2,5,3,1,2,2,2,2,2,3
1380,1,4,1,2,1,3,1,2,1,2,2,3,4
1383,1,4,3,2,1,2,1,2,3,2,3,3,4
1387,2,2,3,2,2,3,2,1,3,2,3,2,3
1389,1,4,2,1,1,3,1,1,3,1,2,2,3
1390,2,4,3,1,1,2,2,2,2,1,2,3,2
1391,2,3,3,1,1,2,1,2,3,1,2,3,4
1392,2,3,2,2,1,3,1,1,2,2,3,2,4
1394,2,3,1,1,1,3,3,2,2,2,4,3,4
1395,2,4,3,3,1,2,1,2,2,1,2,3,4
1398,2,4,3,1,1,4,5,2,2,1,3,2,4
1402,2,2,1,2,1,2,3,2,2,2,3,3,2
1403,2,2,1,2,1,3,1,2,3,2,1,3,4
1404,2,3,1,3,1,4,3,1,2,1,3,2,4
1407,1,3,3,3,1,3,6,1,3,1,4,3,3
1409,2,2,2,2,1,1,2,2,2,2,2,3,4
1413,1,1,2,3,3,4,6,2,3,2,2,3,4
1414,2,4,1,1,3,4,5,2,2,1,3,2,4
1415,1,2,1,2,2,2,6,2,2,2,1,2,4
1417,2,4,3,3,1,3,5,1,3,2,3,3,2
1420,1,3,1,1,1,4,3,2,2,1,2,3,4
1423,1,4,1,3,1,1,6,2,2,2,2,3,4
1424,2,4,3,3,1,3,5,2,3,2,2,3,4
1425,2,4,1,3,1,3,1,2,3,1,2,3,3
1426,1,3,1,2,1,2,1,2,2,2,3,2,4
1437,1,4,1,2,1,4,1,2,2,2,2,3,4
1438,2,4,2,3,1,4,5,99,2,1,3,99,4
1439,1,3,99,1,1,3,6,2,2,1,4,3,4
1441,2,4,2,2,2,1,3,2,1,2,2,2,2
1444,2,3,3,3,1,1,1,1,3,1,4,2,4
1445,2,4,1,1,1,2,5,2,3,2,3,3,3
1446,2,4,3,1,1,3,5,2,2,1,3,3,4
1449,2,3,1,1,1,2,2,1,1,1,4,2,1
1452,2,3,3,1,1,1,1,1,1,2,3,2,3
1458,2,2,2,2,2,3,6,2,2,2,2,3,4
1460,1,3,2,2,1,3,1,2,2,2,2,3,4
1461,2,4,3,3,1,1,1,1,3,2,2,3,4
1465,1,4,2,3,3,3,1,1,3,1,3,2,4
1468,1,4,1,2,1,4,1,2,3,2,3,3,4
1469,2,2,1,2,1,3,1,1,2,1,2,2,4
1470,2,3,2,2,3,4,1,1,1,2,3,2,4
1471,2,3,3,3,1,1,1,2,2,1,2,3,4
1472,1,2,2,2,2,3,1,1,2,2,2,3,3
1475,2,3,2,2,2,2,1,2,3,2,2,3,4
1478,2,3,3,1,1,3,1,2,2,1,3,3,4
1480,2,3,3,1,3,3,1,2,2,1,2,3,4
1481,2,3,1,2,1,2,1,2,2,2,2,3,1
1488,2,3,1,2,3,3,6,2,3,2,2,2,4
1491,1,3,2,1,1,1,1,1,3,1,4,3,4
1494,2,3,3,4,3,3,1,1,1,2,3,2,3
1495,2,2,2,2,2,1,3,1,1,2,2,2,2
1508,1,3,3,3,1,2,1,2,2,1,3,2,3
1511,1,2,2,2,2,3,2,1,3,2,2,2,3
1512,2,2,2,2,4,3,1,1,3,2,3,2,3
1513,1,2,1,3,5,2,5,1,3,2,1,3,2
1517,2,2,2,4,3,4,6,2,2,2,2,2,2
1521,1,1,3,2,1,1,1,2,2,1,2,3,4
1527,1,4,1,3,2,3,3,2,2,2,2,2,3
1528,2,1,1,2,3,4,6,2,3,1,3,3,4
1531,1,4,2,3,3,3,2,2,2,1,1,1,1
1532,1,3,1,4,1,3,1,1,3,1,1,2,4
1537,1,2,1,1,1,4,1,1,3,1,2,2,2
1538,2,1,2,2,3,1,2,2,2,2,2,3,4
1539,2,4,2,2,1,4,3,2,3,2,4,2,4
1540,2,2,2,2,2,3,6,2,2,2,1,2,3
1541,2,4,3,1,1,1,5,1,3,99,4,3,4
1542,2,3,2,2,2,3,1,2,3,2,4,2,3
1543,2,2,2,2,2,1,6,2,2,2,1,2,1
1545,1,4,1,2,2,3,1,2,2,2,2,2,4
1546,2,2,2,4,1,3,4,2,1,2,1,3,4
1549,1,4,2,3,1,2,1,1,2,1,3,3,4
1551,1,1,3,4,3,4,1,1,3,2,3,3,3
1558,1,3,2,4,2,1,4,2,2,2,2,1,2
1559,1,3,2,2,2,2,1,2,2,2,2,2,3
1561,2,4,2,3,1,1,3,2,2,2,1,3,4
1563,1,3,3,3,1,2,3,2,2,2,2,3,4
1564,1,1,1,3,2,3,1,2,2,2,1,2,3
1565,1,4,1,3,1,3,1,1,1,2,2,3,2
1567,2,4,3,2,1,4,5,2,2,2,3,3,4
1568,1,4,2,1,1,2,2,2,2,1,3,2,4
1573,1,2,1,2,1,2,1,1,1,2,3,3,3
1574,1,4,1,1,1,3,1,2,2,1,3,3,4
1576,2,4,3,3,1,2,1,1,2,2,4,3,4
1579,1,4,1,1,3,3,1,1,2,1,3,3,4
1580,1,1,1,3,1,1,6,2,3,2,3,3,3
1583,1,4,1,4,1,4,1,1,3,1,4,2,4
1584,1,4,1,2,2,2,3,2,3,2,3,2,4
1585,1,3,3,3,1,2,4,1,2,2,4,2,4
1586,1,4,2,1,3,4,1,2,3,1,2,2,4
1587,1,4,1,2,1,1,1,2,3,2,3,3,4
1590,1,3,3,4,1,3,3,1,1,2,3,2,4
1591,1,2,2,1,3,3,1,1,1,1,3,2,4
1592,1,2,2,3,1,2,6,2,2,2,2,3,4
1593,2,2,3,3,1,2,3,2,2,2,3,2,2
1594,2,3,1,2,1,3,1,2,2,1,2,2,4
1595,2,2,1,1,1,2,1,1,1,1,2,3,4
1597,1,3,1,2,2,1,1,2,2,2,1,1,4
1598,2,2,3,2,2,1,6,2,3,2,4,2,4
1599,1,1,1,1,3,2,6,1,1,1,3,3,4
1603,1,4,2,1,1,4,99,2,1,2,3,3,2
1605,1,4,1,99,9,2,1,1,3,1,3,2,4
1606,1,2,1,2,1,2,1,2,2,2,3,3,4
1610,2,2,1,3,1,4,1,1,1,1,3,1,3
1611,2,3,1,1,1,3,1,2,2,1,2,3,4
1612,1,1,1,2,1,4,1,1,3,2,3,3,3
1613,1,1,3,3,3,4,6,2,2,1,3,3,4
1614,2,3,3,2,1,1,5,1,3,2,1,1,1
1615,2,4,3,2,3,4,3,2,2,1,4,3,4
1617,2,2,1,2,1,1,1,2,3,2,2,3,4
1618,1,3,2,3,1,3,2,2,2,2,1,3,4
1620,1,1,1,3,1,4,1,1,1,2,2,3,2
1623,1,3,1,2,3,3,1,1,2,1,2,2,3
1625,2,2,1,2,1,3,6,2,2,2,1,3,4
1626,1,2,2,4,1,3,1,1,1,2,3,3,3
1627,2,1,3,3,1,3,2,2,2,2,4,3,4
1628,1,1,1,4,1,4,2,1,1,1,4,3,4
1629,2,2,1,2,1,3,1,2,2,2,2,3,4
1630,1,2,1,3,3,2,6,2,2,1,2,2,2
1631,1,4,2,1,1,4,1,1,1,1,4,2,4
1632,2,2,3,3,1,2,2,1,1,2,3,3,3
1634,2,4,2,3,1,2,5,2,3,2,3,2,3
1636,2,2,1,2,2,2,1,2,2,2,1,2,4
1637,2,3,3,3,1,2,3,2,2,1,2,3,3
1645,1,3,3,1,1,1,1,1,3,1,3,3,4
1647,1,3,1,1,1,3,6,2,3,1,3,3,3
1648,1,3,3,3,1,4,1,1,1,1,1,2,4
1649,2,3,1,2,1,1,2,2,2,2,2,3,4
1657,1,2,2,1,1,3,1,1,2,1,3,2,4
1660,2,3,2,2,3,2,1,1,3,2,3,3,4
1662,1,1,2,3,1,1,6,1,3,2,3,2,4
1665,1,2,2,1,3,4,1,2,3,1,3,2,4
1667,1,2,1,3,4,2,1,2,1,1,3,3,3
1669,1,4,2,1,1,1,1,2,2,1,3,3,3
1671,2,4,2,2,2,3,5,2,2,2,2,2,2
1674,1,1,1,2,2,3,6,2,2,2,3,2,3
1676,2,1,1,4,5,3,6,2,2,2,1,2,2
1677,2,2,3,1,1,3,2,2,2,1,1,2,4
1682,1,2,2,2,3,4,4,2,1,2,2,2,3
1684,2,1,1,2,3,1,6,1,1,2,1,1,1
1687,1,3,3,2,1,3,1,2,2,2,3,3,3
1688,2,1,1,3,1,4,6,1,3,2,2,2,4
1691,1,2,1,3,5,4,1,2,3,1,2,2,3
1692,1,1,1,3,1,3,6,2,2,1,2,2,2
1693,2,4,2,3,1,4,1,2,2,2,2,3,2
1695,1,2,3,3,1,3,3,2,3,1,4,3,4
1696,1,4,2,2,2,1,1,2,2,2,2,2,4
1700,1,3,1,3,5,3,1,2,2,2,2,1,3
1703,2,2,1,2,1,1,6,1,1,2,3,2,2
1704,1,4,3,3,1,4,1,1,3,1,2,3,4
1705,2,4,3,1,1,3,1,1,1,1,3,3,3
1706,2,3,3,2,2,3,3,1,3,2,3,3,3
1710,2,2,3,1,1,3,1,2,2,1,3,3,4
1711,1,2,1,2,1,1,1,2,3,2,2,3,4
1712,2,3,1,3,1,4,3,1,1,2,3,3,4
1714,2,2,1,3,1,1,1,2,1,2,2,3,4
1715,1,3,2,2,2,4,4,2,2,2,1,1,4
1717,2,3,1,2,2,2,6,2,3,2,2,3,2
1718,1,1,2,1,1,4,6,1,1,1,2,2,3
1719,1,2,1,1,1,3,6,1,1,1,3,2,4
1722,1,4,3,2,1,4,4,2,2,2,3,2,3
1725,2,2,3,4,1,2,1,1,1,1,1,3,2
1726,2,2,1,2,5,3,2,2,2,2,1,2,4
1729,1,3,1,2,3,1,6,2,2,2,2,2,4
1733,1,4,3,1,1,3,5,2,2,1,1,1,4
1734,1,4,2,1,1,4,1,1,2,1,3,3,4
1735,2,4,3,2,3,1,1,1,2,2,4,3,4
1736,2,3,2,2,3,3,1,2,2,1,3,3,4
1738,2,2,2,1,1,3,1,2,2,1,1,2,3
1743,2,2,2,3,3,4,1,2,2,1,3,3,4
1746,1,1,2,2,3,4,6,2,2,2,2,2,4
1747,1,2,2,3,4,1,5,2,3,2,2,2,3
1748,2,3,2,2,3,2,2,1,3,1,3,3,4
1749,2,4,1,2,1,3,2,2,2,2,2,3,3
1752,1,2,2,3,1,3,1,1,3,1,3,3,4
1753,2,4,1,1,1,4,3,2,2,1,3,2,1
1755,1,1,1,3,1,2,6,1,2,2,2,3,4
1756,2,2,1,3,5,4,6,1,2,2,3,1,3
1757,1,3,1,3,5,4,1,1,3,2,3,3,3
1758,2,2,2,2,2,3,6,2,2,2,1,2,3
1759,1,2,2,2,3,4,1,1,2,2,3,3,4
1760,1,3,1,3,1,1,6,1,2,2,3,3,4
1761,1,3,1,1,1,3,1,2,2,2,4,2,4
1763,2,2,2,4,1,4,1,2,3,1,3,2,4
1764,2,1,3,1,3,3,6,2,2,1,2,2,4
1766,2,3,3,3,1,3,1,2,2,2,2,2,2
1767,1,2,1,2,1,1,1,1,2,2,3,2,4
1768,1,2,1,3,1,1,6,1,3,2,3,3,3
1769,1,3,3,2,1,2,1,2,3,2,2,2,4
1770,2,2,1,1,1,3,6,1,3,1,2,3,4
1771,1,2,1,2,3,4,1,1,3,2,2,3,3
1772,2,2,3,2,3,3,1,2,2,1,2,2,4
1774,2,4,3,1,1,3,1,1,2,1,2,3,4
1776,2,4,3,1,1,3,4,2,1,1,3,3,4
1777,1,3,2,2,3,4,1,1,1,1,2,2,3
1778,1,3,1,2,1,3,1,1,2,2,2,2,1
1785,2,1,3,4,1,3,6,2,2,2,1,3,3
1789,1,2,1,4,1,3,1,1,2,1,2,3,4
1792,1,3,1,2,1,4,1,2,2,2,3,3,2
1793,2,2,1,3,3,3,1,1,3,2,2,2,3
1796,2,2,2,3,2,3,1,2,2,2,3,3,4
1799,2,1,1,2,3,2,6,2,3,99,2,2,2
1801,2,4,3,2,4,4,5,2,2,2,4,2,4
1802,2,3,2,3,3,4,1,1,3,1,3,2,2
1803,1,3,1,3,1,4,1,1,2,2,2,2,4
1805,1,2,3,1,3,2,3,2,2,1,1,2,4
1806,1,4,2,3,1,3,1,1,1,1,2,2,4
1809,2,4,2,1,1,2,3,2,2,1,4,3,4
1811,1,2,1,1,3,4,1,1,1,1,1,1,4
1812,1,3,3,4,3,1,4,2,2,1,3,2,3
1813,1,1,3,1,1,3,1,2,2,1,2,2,2
1814,2,2,99,3,4,4,2,2,2,2,3,1,4
1815,1,1,1,2,2,3,6,2,2,2,1,2,3
1816,2,4,3,4,1,2,1,2,2,1,1,3,4
1817,2,4,3,4,1,1,1,1,1,2,3,3,4
1818,2,3,1,4,2,4,3,2,2,2,1,1,3
1820,1,1,2,3,4,2,6,1,2,1,3,3,3
1821,2,4,1,2,1,4,1,1,2,2,2,3,4
1822,2,2,1,2,1,3,1,2,2,1,2,3,4
1823,2,1,1,3,2,3,1,2,2,2,1,2,2
1825,1,4,2,2,1,3,1,1,3,2,2,3,4
1827,2,3,1,2,1,4,3,2,2,2,2,2,2
1828,2,2,1,2,2,1,6,2,3,2,1,1,4
1830,1,2,1,3,1,3,6,1,3,2,1,2,1
1832,2,1,3,2,3,4,1,2,1,1,4,2,4
1833,1,1,1,3,1,4,6,1,2,1,2,2,4
1836,1,2,3,4,3,4,1,2,2,2,1,2,3
1837,2,2,1,1,1,1,6,2,2,1,1,2,4
1838,1,3,2,3,1,3,1,1,3,1,3,2,4
1839,1,2,3,4,4,2,6,2,3,1,4,3,2
1840,1,4,3,2,2,3,1,1,1,2,1,2,3
1843,2,2,1,2,1,3,1,2,3,2,2,3,4
1846,1,1,1,3,1,3,6,2,1,1,3,2,4
1849,2,2,1,2,1,3,1,2,3,2,2,3,4
1851,1,2,1,2,2,2,6,2,3,2,1,1,4
1852,1,4,2,4,1,4,1,2,2,1,3,2,3
1853,2,2,2,2,4,4,6,2,1,2,1,1,1
1855,2,3,1,2,1,4,1,1,2,2,2,3,3
1858,1,4,1,1,1,1,1,2,2,1,2,2,4
1859,1,1,2,2,1,4,6,1,3,2,3,3,4
1860,1,2,3,1,1,1,6,1,2,2,4,3,4
1862,1,3,3,3,1,2,6,1,3,1,2,2,4
1863,1,3,3,3,1,3,1,1,1,1,3,3,4
1864,1,3,3,2,3,4,6,1,1,2,3,2,3
1866,2,3,3,99,3,4,1,1,3,2,3,3,3
1868,2,2,1,2,1,1,1,2,2,1,2,2,4
1871,1,1,2,1,5,4,1,1,2,1,3,1,2
1874,1,4,2,2,2,1,3,2,2,2,2,2,3
1875,2,2,3,3,3,1,1,2,2,2,3,3,4
1876,1,3,2,2,1,4,1,2,2,2,3,3,4
1877,1,4,1,1,1,4,1,1,1,1,3,3,4
1879,1,2,3,1,1,3,1,1,2,1,2,3,4
1880,1,2,1,2,5,4,1,1,1,2,3,2,3
1882,2,4,3,4,3,3,2,1,3,1,2,2,2
1883,1,1,1,3,3,4,6,2,3,2,3,2,4
1889,2,2,3,4,1,2,1,2,3,2,1,2,4
1894,2,4,2,2,2,4,5,2,2,2,1,2,3
1896,2,2,1,2,1,2,1,2,2,2,2,3,4
1897,1,4,1,1,1,3,1,1,1,1,4,3,4
1899,2,4,1,2,1,4,2,2,2,2,1,3,2
1903,2,3,2,1,1,2,3,2,2,2,4,3,4
1904,1,3,3,1,1,4,3,1,1,2,3,3,3
1907,1,1,1,4,3,4,6,2,2,2,2,2,3
1912,1,1,1,1,5,1,6,2,3,2,2,2,3
